name,album,num in album,is Explicit,num of words,duration in sec,path,num of obscenities
"Chloe or Sam or Sophia or Marcus",The Tortured Poets Department,20,false,317,213,C:\Users\Ariel\Desktop\ProjectTaylor\TTPD\TTPD20.txt,0
"How Did It End?",The Tortured Poets Department,21,false,231,238,C:\Users\Ariel\Desktop\ProjectTaylor\TTPD\TTPD21.txt,0
"So High School",The Tortured Poets Department,22,false,386,228,C:\Users\Ariel\Desktop\ProjectTaylor\TTPD\TTPD22.txt,2
"I Hate It Here",The Tortured Poets Department,23,false,404,243,C:\Users\Ariel\Desktop\ProjectTaylor\TTPD\TTPD23.txt,0
"​​thanK you aIMee",The Tortured Poets Department,24,true,410,263,C:\Users\Ariel\Desktop\ProjectTaylor\TTPD\TTPD24.txt,0
"I Look in People’s Windows",The Tortured Poets Department,25,false,179,131,C:\Users\Ariel\Desktop\ProjectTaylor\TTPD\TTPD25.txt,0
"The Prophecy",The Tortured Poets Department,26,false,354,249,C:\Users\Ariel\Desktop\ProjectTaylor\TTPD\TTPD26.txt,0
"Cassandra",The Tortured Poets Department,27,true,363,240,C:\Users\Ariel\Desktop\ProjectTaylor\TTPD\TTPD27.txt,0
"Peter",The Tortured Poets Department,28,false,440,283,C:\Users\Ariel\Desktop\ProjectTaylor\TTPD\TTPD28.txt,0
"The Bolter",The Tortured Poets Department,29,true,410,238,C:\Users\Ariel\Desktop\ProjectTaylor\TTPD\TTPD29.txt,0
"Robin",The Tortured Poets Department,30,false,178,240,C:\Users\Ariel\Desktop\ProjectTaylor\TTPD\TTPD30.txt,0
"The Manuscript",The Tortured Poets Department,31,false,240,224,C:\Users\Ariel\Desktop\ProjectTaylor\TTPD\TTPD31.txt,0
"Safe & Sound ft. The Civil Wars",Specials,1,false,209,239,C:\Users\Ariel\Desktop\ProjectTaylor\Specials\Special1.txt,0
"Eyes Open",Specials,2,false,255,243,C:\Users\Ariel\Desktop\ProjectTaylor\Specials\Special2.txt,0
"Crazier",Specials,3,false,218,192,C:\Users\Ariel\Desktop\ProjectTaylor\Specials\Special3.txt,0
"I Don’t Wanna Live Forever",Specials,4,false,418,247,C:\Users\Ariel\Desktop\ProjectTaylor\Specials\Special4.txt,0
"Carolina",Specials,5,false,233,264,C:\Users\Ariel\Desktop\ProjectTaylor\Specials\Special5.txt,0
"Renegade",Specials,6,true,485,254,C:\Users\Ariel\Desktop\ProjectTaylor\Specials\Special6.txt,3
"Christmas Tree Farm",Specials,7,false,304,228,C:\Users\Ariel\Desktop\ProjectTaylor\Specials\Special7.txt,0
"Beautiful Ghosts",Specials,8,false,294,261,C:\Users\Ariel\Desktop\ProjectTaylor\Specials\Special8.txt,0
"Only The Young",Specials,9,false,297,157,C:\Users\Ariel\Desktop\ProjectTaylor\Specials\Special9.txt,0
"The Joker And The Queen",Specials,10,false,214,185,C:\Users\Ariel\Desktop\ProjectTaylor\Specials\Special10.txt,0
"Sweeter Than Fiction",Specials,11,false,473,237,C:\Users\Ariel\Desktop\ProjectTaylor\Specials\Special11.txt,0
