Summary file for song averages in Taylor's discography

Album name : Debut
9) "​coney island" : 4:35
10) "ivy" : 4:20
11) "​cowboy like me" : 4:35
12) "​l​ong story short" : 3:35
13) "marjorie" : 4:17
14) "​closure" : 3:0
15) "evermore" : 5:4
16) "​r​ight where you left me" : 4:5
17) "​it’s time to go" : 4:14
In summary, the song average in the Evermore album is 4m and 3s.

Album name : Midnights
1) "Lavender Haze" : 3:22
2) "Maroon" : 3:38
3) "Anti-Hero" : 3:20
4) "Snow On The Beach ft. Lana Del Ray" : 4:16
5) "You’re On Your Own, Kid" : 3:14
6) "Midnight Rain" : 2:54
7) "Question...?" : 3:30
8) "Vigilante Shit" : 2:44
9) "Bejeweled" : 3:14
10) "Labyrinth" : 4:7
11) "Karma" : 3:24
12) "Sweet Nothing" : 3:8
13) "Mastermind" : 3:11
14) "The Great War" : 4:0
15) "Bigger Than The Whole Sky" : 3:38
16) "Paris" : 3:16
17) "High Infidelity" : 3:51
18) "Glitch" : 2:28
19) "Would’ve, Could’ve, Should’ve" : 4:20
20) "Dear Reader" : 3:45
21) "Hits Different" : 3:54
22) "You’re Losing Me" : 4:41
In summary, the song average in the Midnights album is 3m and 32s.

Album name : The Tortured Poets Department
1) "Fortnight ft. Post Malone" : 3:48
2) "The Tortured Poets Department" : 4:53
3) "My Boy Only Breaks His Favorite Toys" : 3:23
4) "Down Bad" : 4:21
5) "So Long, London" : 4:22
6) "But Daddy I Love Him" : 5:40
7) "Fresh Out The Slammer" : 3:30
8) "Florida!!! ft. Florence + The Machine" : 3:35
9) "Guilty as Sin?" : 4:14
10) "Who’s Afraid of Little Old Me?" : 5:34
11) "I Can Fix Him (No Really I Can)" : 2:36
12) "loml" : 4:37
13) "I Can Do It With A Broken Heart" : 3:38
14) "The Smallest Man Who Ever Lived" : 4:5
15) "The Alchemy" : 3:16
16) "Clara Bow" : 3:36
17) "The Black Dog" : 3:58
18) "imgonnagetyouback" : 3:42
19) "The Albatross" : 3:3
